"system","epoch","load avg",,,"procs",,,"system",,"interrupts",,,,,,"io/sda",,"io/sr0",,"dsk/sda",,"dsk/sr0",,"memory usage",,,,"swap",,"paging",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"virtual memory",,,,"file locks",,,,"async","filesystem",,"sysv ipc",,
16-04 10:00:35,1492336835.162,7.570,5.090,2.300,4.0,0.0,0.0,11161.0,7404.0,0.0,0.0,0.0,0.0,9905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460640256.0,909312.0,1430253568.0,1887084544.0,0.0,0.0,0.0,0.0,1104086.0,3209337.0,6.0,5.0,0.0,466.0,0.0,269.0,6.0,1.0,0.0,0.0,0.0,10290.0,1059.0,1099.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60370.0,0.0,5.0,1.0
16-04 10:00:36,1492336836.162,7.570,5.090,2.300,0.0,0.0,0.0,11752.0,9984.0,0.0,0.0,0.0,2.0,10375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459739136.0,909312.0,1431121920.0,1887117312.0,0.0,0.0,0.0,0.0,1159606.0,3373962.0,6.0,5.0,0.0,540.0,0.0,268.0,6.0,1.0,0.0,0.0,0.0,10800.0,848.0,852.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60369.0,0.0,5.0,1.0
16-04 10:00:37,1492336837.162,7.570,5.090,2.300,3.0,0.0,0.0,11517.0,9350.0,0.0,0.0,0.0,0.0,10201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458870784.0,909312.0,1431973888.0,1887133696.0,0.0,0.0,0.0,0.0,1132474.0,3294888.0,6.0,5.0,0.0,608.0,0.0,267.0,6.0,1.0,0.0,0.0,0.0,10552.0,929.0,948.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60368.0,0.0,5.0,1.0
16-04 10:00:38,1492336838.163,7.570,5.090,2.300,3.0,0.0,0.0,11411.0,7908.0,0.0,0.0,0.0,2.0,10152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458014720.0,909312.0,1432813568.0,1887150080.0,0.0,0.0,0.0,0.0,1136922.0,3306510.0,6.0,5.0,0.0,669.0,0.0,266.0,6.0,1.0,0.0,0.0,0.0,10592.0,979.0,982.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60367.0,0.0,5.0,1.0
16-04 10:00:39,1492336839.162,7.570,5.090,2.300,0.0,0.0,0.0,7870.0,12224.0,0.0,0.0,0.0,0.0,6991.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457191424.0,909312.0,1433366528.0,1887420416.0,0.0,0.0,0.0,0.0,748529.0,2183448.0,6.0,3.0,0.0,731.0,0.0,265.0,6.0,1.0,0.0,0.0,0.0,7084.0,363.0,427.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60366.0,0.0,5.0,1.0
16-04 10:00:40,1492336840.162,6.960,5.010,2.280,0.0,0.0,0.0,43.0,96.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456171520.0,909312.0,1433362432.0,1888444416.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,264.0,6.0,1.0,0.0,0.0,0.0,278.0,154.0,371.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60365.0,0.0,5.0,1.0
16-04 10:00:41,1492336841.162,6.960,5.010,2.280,0.0,0.0,0.0,41.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455266304.0,909312.0,1433362432.0,1889349632.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,263.0,6.0,1.0,0.0,0.0,0.0,279.0,153.0,392.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60364.0,0.0,5.0,1.0
16-04 10:00:42,1492336842.162,6.960,5.010,2.280,0.0,0.0,0.0,47.0,97.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454361088.0,909312.0,1433362432.0,1890254848.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,262.0,6.0,1.0,0.0,0.0,0.0,279.0,154.0,369.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60363.0,0.0,5.0,1.0
16-04 10:00:43,1492336843.162,6.960,5.010,2.280,0.0,0.0,0.0,42.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453455872.0,909312.0,1433362432.0,1891160064.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,261.0,6.0,1.0,0.0,0.0,0.0,279.0,153.0,369.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60362.0,0.0,5.0,1.0
16-04 10:00:44,1492336844.162,6.960,5.010,2.280,0.0,0.0,0.0,49.0,104.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8192.0,0.0,0.0,452677632.0,909312.0,1433362432.0,1891938304.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,260.0,6.0,1.0,0.0,0.0,0.0,280.0,155.0,344.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60361.0,0.0,5.0,1.0
16-04 10:00:45,1492336845.162,6.410,4.920,2.270,0.0,0.0,0.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451645440.0,909312.0,1433362432.0,1892970496.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,259.0,6.0,1.0,0.0,0.0,0.0,278.0,153.0,401.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60360.0,0.0,5.0,1.0
16-04 10:00:46,1492336846.162,6.410,4.920,2.270,0.0,0.0,0.0,43.0,97.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450740224.0,909312.0,1433362432.0,1893875712.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,258.0,6.0,1.0,0.0,0.0,0.0,278.0,154.0,370.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60359.0,0.0,5.0,1.0
16-04 10:00:47,1492336847.162,6.410,4.920,2.270,0.0,0.0,0.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449708032.0,909312.0,1433362432.0,1894907904.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,257.0,6.0,1.0,0.0,0.0,0.0,278.0,153.0,385.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60358.0,0.0,5.0,1.0
16-04 10:00:48,1492336848.162,6.410,4.920,2.270,0.0,0.0,0.0,47.0,97.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448925696.0,909312.0,1433366528.0,1895686144.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,256.0,6.0,1.0,0.0,0.0,0.0,278.0,155.0,375.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60357.0,0.0,5.0,1.0
16-04 10:00:49,1492336849.162,6.410,4.920,2.270,0.0,0.0,0.0,46.0,105.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,24576.0,0.0,0.0,448016384.0,909312.0,1433370624.0,1896591360.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,255.0,6.0,1.0,0.0,0.0,0.0,279.0,155.0,367.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60356.0,0.0,5.0,1.0
16-04 10:00:50,1492336850.161,5.890,4.840,2.260,0.0,0.0,0.0,42.0,94.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447107072.0,909312.0,1433374720.0,1897496576.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,254.0,6.0,1.0,0.0,0.0,0.0,278.0,155.0,371.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60355.0,0.0,5.0,1.0
16-04 10:00:51,1492336851.162,5.890,4.840,2.260,0.0,0.0,0.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446201856.0,909312.0,1433374720.0,1898401792.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,253.0,6.0,1.0,0.0,0.0,0.0,278.0,153.0,369.0,5.0,3.0,0.0,8.0,2661.0,1376.0,60354.0,0.0,5.0,1.0
16-04 10:00:52,1492336852.162,5.890,4.840,2.260,0.0,0.0,0.0,41.0,91.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445296640.0,909312.0,1433374720.0,1899307008.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,252.0,6.0,1.0,0.0,0.0,0.0,278.0,154.0,370.0,5.0,3.0,0.0,8.0,2661.0,1376.0,60353.0,0.0,5.0,1.0
16-04 10:00:53,1492336853.162,5.890,4.840,2.260,0.0,0.0,0.0,37.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444391424.0,909312.0,1433374720.0,1900212224.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,251.0,6.0,1.0,0.0,0.0,0.0,278.0,153.0,396.0,5.0,3.0,0.0,8.0,2661.0,1376.0,60352.0,0.0,5.0,1.0
16-04 10:00:54,1492336854.162,5.890,4.840,2.260,0.0,0.0,0.0,45.0,101.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443486208.0,909312.0,1433374720.0,1901117440.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,3.0,0.0,731.0,0.0,250.0,6.0,1.0,0.0,0.0,0.0,281.0,156.0,376.0,5.0,3.0,0.0,8.0,2661.0,1376.0,60351.0,0.0,5.0,1.0
16-04 10:00:55,1492336855.162,5.420,4.760,2.250,0.0,0.0,0.0,42.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442728448.0,909312.0,1433374720.0,1901875200.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,731.0,0.0,249.0,6.0,1.0,0.0,0.0,0.0,279.0,154.0,345.0,5.0,3.0,0.0,8.0,2661.0,1376.0,60350.0,0.0,5.0,1.0
16-04 10:00:56,1492336856.162,5.420,4.760,2.250,0.0,0.0,2.0,71.0,147.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3584.0,0.0,0.0,443768832.0,909312.0,1433378816.0,1900830720.0,0.0,0.0,0.0,0.0,1412.0,2919.0,6.0,4.0,0.0,731.0,0.0,251.0,7.0,1.0,0.0,0.0,0.0,1994.0,705.0,447.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60372.0,0.0,5.0,1.0
16-04 10:00:57,1492336857.162,5.420,4.760,2.250,0.0,0.0,0.0,47.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442863616.0,909312.0,1433378816.0,1901735936.0,0.0,0.0,0.0,0.0,196.0,132.0,6.0,4.0,0.0,731.0,0.0,250.0,7.0,1.0,0.0,0.0,0.0,283.0,153.0,369.0,5.0,3.0,0.0,8.0,2661.0,1408.0,60371.0,0.0,5.0,1.0
16-04 10:00:58,1492336858.162,5.420,4.760,2.250,0.0,0.0,0.0,59.0,129.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442212352.0,909312.0,1433378816.0,1902387200.0,0.0,0.0,0.0,0.0,1761.0,283.0,6.0,4.0,0.0,731.0,0.0,249.0,7.0,1.0,0.0,0.0,0.0,561.0,283.0,415.0,5.0,3.0,0.0,8.0,2661.0,1440.0,60370.0,0.0,5.0,1.0
